==============================================================================
==============================================================================
Wed. Feb. 10 2016                  LANDSAT 5                       Time: 04:36
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 9991602090003_12564                          Path / Row - 34 / 32
Reference Image: L51AAA1186203060500_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 83.2%
Rank   2 -- 16.8%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0340320877   41.02114   -105.33994    -0.32     -0.42     0.53     2 
0340320878   41.02125   -105.30283    -0.12     -0.36     0.38     1 
0340320879   41.02134   -105.26572    -0.08     -0.24     0.26     1 
0340320880   41.02142   -105.22861     0.17     -0.32     0.36     1 
0340320881   41.02149   -105.19150     0.12     -0.43     0.45     1 
0340320885   41.02164   -105.04306     0.04     -0.08     0.09     1 
0340320886   41.02165   -105.00595     0.23     -0.03     0.23     1 
0340320915   40.98407   -106.71201     0.09      0.36     0.37     1 
0340320919   40.98618   -106.56371     0.11     -0.35     0.37     1 
0340320925   40.98898   -106.34123    -0.27     -0.03     0.28     1 
0340320926   40.98941   -106.30415    -0.21      0.13     0.25     1 
0340320927   40.98982   -106.26707     0.18     -0.14     0.23     1 
0340320928   40.99022   -106.22998     0.41     -0.24     0.48     1 
0340320929   40.99061   -106.19290     0.45     -0.03     0.45     1 
0340320930   40.99099   -106.15582     0.40     -0.13     0.42     1 
0340320931   40.99135   -106.11873     0.19      0.05     0.20     1 
0340320932   40.99171   -106.08164     0.12      0.32     0.34     1 
0340320935   40.99270   -105.97038    -0.04      0.33     0.33     1 
0340320939   40.99385   -105.82202    -0.16      0.56     0.58     2 
0340320946   40.99541   -105.56238     0.15     -0.02     0.15     1 
0340320947   40.99559   -105.52528     0.08     -0.21     0.23     1 
0340320948   40.99575   -105.48819     0.18     -0.12     0.22     1 
0340320949   40.99590   -105.45109     0.31      0.07     0.32     1 
0340320950   40.99604   -105.41400     0.10     -0.16     0.18     1 
0340320951   40.99617   -105.37690    -0.09     -0.25     0.26     1 
0340320952   40.99628   -105.33981    -0.24     -0.36     0.43     1 
0340320953   40.99639   -105.30271    -0.14      0.00     0.14     1 
0340320954   40.99648   -105.26562     0.00     -0.11     0.11     1 
0340320955   40.99656   -105.22852     0.03     -0.26     0.26     1 
0340320956   40.99663   -105.19142     0.09     -0.13     0.16     1 
0340320959   40.99676   -105.08014     0.13     -0.27     0.29     1 
0340320993   40.96081   -106.60018    -0.13     -0.07     0.15     1 
0340320994   40.96132   -106.56312     0.16     -0.47     0.50     1 
