Thu. Mar.  8, 2018             LANDSAT 3                 Time: 17:18
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L866585            Path/Row: 036 / 032

L0R Reference Image: L31XXX1178183000101_HDF.180672315
Acquisition Date: Jul 02, 1978

Band Number:  7

GLS date for each WRS-2 path/row used:
Path  Row   Date
033   032   09-20-2002
033   033   09-14-2000
034   031   10-05-1999
034   032   09-24-2001
034   033   09-24-2001


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)
0330320411_02   40.926658 -105.174120  1934.524       0.000     0.000    16.256     3.700
0330320418_02   40.597514 -105.292751  2211.880       0.000     0.000   -30.606   -17.198
0330320422_02   39.724647 -105.334533  2087.152       0.000     0.000     5.241     6.720
0330320423_02   39.645800 -105.173312  1728.000       0.000     0.000     3.667   -30.850
0330320425_02   39.698222 -105.311310  2241.830       0.000     0.000    -5.452     7.112
0330320426_02   39.704140 -105.202153  1956.391       0.000     0.000    -4.147    -1.026
0330320427_02   39.730558 -105.239689  2214.593       0.000     0.000   -20.415     4.045
0330320428_02   39.655213 -105.322308  2154.432       0.000     0.000   -12.903    -0.938
0330320429_02   40.975600 -105.154637  2065.141       0.000     0.000    -2.778    -7.198
0330320435_02   40.946958 -105.151719  1982.224       0.000     0.000    18.280    12.144
0330330001_02   39.560601 -105.204530  2251.796       0.000     0.000   -12.746     4.748
0330330006_02   39.660692 -104.844604  1698.040       0.000     0.000   -25.311    15.603
0330330012_02   39.645971 -105.340447  2256.003       0.000     0.000    -9.549    -1.345
0330330027_02   39.634628 -104.775092  1729.000       0.000     0.000    18.750     4.208
0330330056_02   39.289558 -104.275611  1818.235       0.000     0.000    18.928   -10.220
0330330065_02   39.359006 -104.316332  1804.233       0.000     0.000   -12.281     6.159
0330330069_02   39.755852 -105.146621  1684.978       0.000     0.000    57.644   -20.171
0330330086_02   39.391570 -104.337962  1787.288       0.000     0.000     8.004    -0.459
0330330131_02   39.788233 -105.534202  2886.607       0.000     0.000    -9.953     4.733
0330330147_02   39.827878 -105.493141  2760.471       0.000     0.000   -12.251    21.881
0330330155_02   39.526878 -105.298676  2514.468       0.000     0.000   -30.411    13.854
0330330171_02   39.420484 -104.565273  1950.601       0.000     0.000    -3.534    30.217
0330330190_02   39.409281 -104.229073  1834.627       0.000     0.000     1.974     0.897
0330330208_02   39.660138 -105.164954  1743.429       0.000     0.000    -8.345   -45.329
0330330218_02   39.621495 -105.156823  1764.518       0.000     0.000   -16.516     0.496
0330330236_02   39.572941 -105.027827  1629.204       0.000     0.000    16.338    13.383
0330330287_02   39.497249 -105.254238  2575.042       0.000     0.000   -19.661     8.355
0330330299_02   39.801131 -105.490147  2489.767       0.000     0.000   -18.471    16.658
0330330324_02   39.604204 -105.150145  1796.481       0.000     0.000   -20.216    10.317
0330330340_02   39.682934 -105.079297  1670.042       0.000     0.000     1.593    -2.731
0330330348_02   39.682885 -105.378411  2406.152       0.000     0.000   -38.570    27.929
0330330392_02   39.267423 -104.325916  1817.714       0.000     0.000     0.069    14.879
0330330395_02   39.538832 -105.371343  2784.627       0.000     0.000     4.317    10.282
0330330449_02   39.513653 -105.579555  2953.789       0.000     0.000   -38.129     3.936
0330330461_02   39.536318 -105.587773  3441.673       0.000     0.000    10.599   -12.576
0330330462_02   39.512675 -105.612002  3500.022       0.000     0.000    -8.892    -4.260
0340310066_02   40.975922 -105.110065  2032.099       0.000     0.000    25.777     8.620
0340310127_02   40.910226 -104.866295  1732.030       0.000     0.000    37.838     2.009
0340310139_02   40.926658 -105.174120  1934.524       0.000     0.000    22.269   -11.483
0340310244_02   40.919947 -105.140256  1960.009       0.000     0.000     8.633    -0.530
0340310398_02   40.975600 -105.154637  2065.141       0.000     0.000    -0.928   -12.584
0340320001_02   39.917702 -105.401113  2690.767       0.000     0.000   -17.329     4.519
0340320002_02   40.290941 -105.990270  3236.237       0.000     0.000    29.282     7.335
0340320005_02   39.682934 -105.079297  1670.042       0.000     0.000     4.530     2.739
0340320010_02   40.051470 -105.778231  2978.963       0.000     0.000   -65.015   -17.407
0340320011_02   39.506654 -105.278350  2526.448       0.000     0.000   -17.151     3.625
0340320013_02   39.948116 -105.358095  2165.516       0.000     0.000    13.522    -7.941
0340320014_02   40.568304 -105.391149  2439.219       0.000     0.000   -53.359   -28.349
0340320017_02   40.664462 -105.202895  1575.408       0.000     0.000   -14.553    17.041
0340320023_02   39.639704 -105.254059  2287.842       0.000     0.000   -33.857     2.137
0340320024_02   40.172213 -105.864873  2517.978       0.000     0.000    -6.600    18.195
0340320025_02   39.645700 -105.340446  2257.770       0.000     0.000    -6.421     0.074
0340320026_02   39.741201 -106.135360  2575.566       0.000     0.000     4.201    16.127
0340320028_02   40.471939 -104.993158  1488.884       0.000     0.000   -29.990   -27.186
0340320029_02   40.260338 -106.028277  3086.951       0.000     0.000    28.496    29.224
0340320032_02   40.072551 -105.205701  1556.990       0.000     0.000    51.508     0.090
0340320035_02   39.766942 -105.140340  1665.077       0.000     0.000    40.875    -9.740
0340320037_02   39.788864 -105.115157  1631.427       0.000     0.000    19.744    -4.919
0340320042_02   40.158879 -105.840398  2520.403       0.000     0.000    17.651    22.611
0340320043_02   40.838041 -105.155740  1759.000       0.000     0.000    -3.791    14.335
0340320045_02   39.464997 -105.383505  2541.235       0.000     0.000    -7.057     6.426
0340320051_02   40.386510 -105.071634  1490.032       0.000     0.000     7.482     8.086
0340320054_02   39.461547 -105.079046  1805.017       0.000     0.000     1.531   -11.383
0340320058_02   40.161451 -105.893976  2515.200       0.000     0.000    17.328   -10.124
0340320060_02   40.653002 -105.061982  1554.000       0.000     0.000    10.449    -0.601
0340320064_02   39.763950 -105.632784  2469.419       0.000     0.000   -28.770    15.239
0340320065_02   40.611052 -105.131806  1535.204       0.000     0.000     8.713   -22.918
0340320067_02   40.884042 -104.631686  1642.887       0.000     0.000    11.677    -1.653
0340320069_02   39.740383 -105.591254  2807.844       0.000     0.000   -20.461    -2.230
0340320075_02   40.533872 -105.930078  2950.298       0.000     0.000    18.262    -7.435
0340320078_02   39.567103 -106.051839  2747.305       0.000     0.000    -8.339    -2.775
0340320079_02   40.180131 -105.816698  2516.659       0.000     0.000   -10.473    15.079
0340320081_02   39.724602 -105.244569  2222.721       0.000     0.000   -20.411     2.966
0340320083_02   40.624884 -105.079691  1517.000       0.000     0.000   -18.608   -15.829
0340320085_02   39.875810 -105.399816  2762.105       0.000     0.000   -22.856    23.542
0340320087_02   40.308126 -105.077552  1518.814       0.000     0.000    18.457    37.950
0340320091_02   40.535116 -105.975791  2816.177       0.000     0.000   -42.940     0.785
0340320096_02   40.584417 -105.962327  2935.236       0.000     0.000   -12.288    -2.445
0340320097_02   39.889034 -105.198485  1812.654       0.000     0.000   -19.642    -7.247
0340320102_02   40.388378 -105.103801  1512.976       0.000     0.000   -13.077    13.986
0340320108_02   39.674147 -105.853732  3707.581       0.000     0.000    -2.225    -3.054
0340320109_02   39.968165 -105.898127  2652.569       0.000     0.000    -9.887    -6.351
0340320110_02   40.191429 -105.231436  1581.008       0.000     0.000    -3.532    -0.258
0340320111_02   39.820906 -105.409313  2591.494       0.000     0.000   -35.179     1.815
0340320113_02   40.785152 -104.739612  1626.041       0.000     0.000    -8.250   -26.944
0340320116_02   40.133951 -105.811215  2515.000       0.000     0.000    22.482   -26.244
0340320122_02   39.939502 -105.658276  3433.128       0.000     0.000    29.994    -4.216
0340320123_02   40.130568 -104.957980  1496.608       0.000     0.000     4.597     4.538
0340320125_02   40.521371 -105.079923  1521.612       0.000     0.000    12.885     1.538
0340320126_02   39.546437 -105.062382  1644.000       0.000     0.000    68.926   -53.250
0340320132_02   39.690788 -105.358511  2377.808       0.000     0.000   -23.127    21.979
