==============================================================================
==============================================================================
Thu. Mar. 8 2018                  LANDSAT 3                       Time: 23:18
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101803081133_00026                          Path / Row - 36 / 32
Reference Image: L31XXX1178183000101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 75.0%
Rank   2 -- 25.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0360320770   40.84811   -105.61807     0.56     -0.32     0.64     2 
0360320775   40.84901   -105.41878     0.18      0.05     0.19     1 
0360320776   40.84915   -105.37892     0.30     -0.15     0.34     1 
0360320777   40.84927   -105.33906     0.46     -0.03     0.46     1 
0360320778   40.84938   -105.29919     0.27      0.17     0.32     1 
0360320780   40.84956   -105.21947    -0.09      0.03     0.09     1 
0360320782   40.84968   -105.13975    -0.14     -0.15     0.21     1 
0360320791   40.84956   -104.78100    -0.18     -0.02     0.18     1 
0360320795   40.84915   -104.62156     0.10      0.07     0.12     1 
0360320797   40.84886   -104.54184     0.10      0.05     0.11     1 
0360320798   40.84869   -104.50198     0.01     -0.02     0.02     1 
0360320799   40.84851   -104.46212    -0.43     -0.30     0.52     2 
0360320807   40.84659   -104.14326    -0.27     -0.23     0.35     1 
0360320837   40.81948   -105.93655     0.76     -0.09     0.76     2 
0360320840   40.82039   -105.81703     0.06     -0.41     0.42     1 
0360320842   40.82093   -105.73735     0.59     -0.32     0.67     2 
0360320845   40.82163   -105.61782     0.65     -0.17     0.67     2 
0360320851   40.82266   -105.37877     0.20     -0.21     0.29     1 
0360320857   40.82320   -105.13970    -0.06     -0.11     0.13     1 
0360320874   40.82203   -104.46233    -0.17     -0.06     0.18     1 
0360320882   40.82010   -104.14360    -0.24     -0.10     0.26     1 
0360320886   40.81881   -103.98425    -0.47     -0.01     0.47     1 
0360320887   40.81845   -103.94442    -0.14     -0.13     0.19     1 
0360320913   40.79331   -105.89635     0.48     -0.24     0.54     2 
0360320914   40.79362   -105.85653     0.16     -0.27     0.32     1 
0360320915   40.79391   -105.81670     0.12     -0.29     0.31     1 
0360320916   40.79418   -105.77688    -0.10     -0.12     0.16     1 
