==============================================================================
==============================================================================
 Apr. 5 2014                  LANDSAT 4                       Time: 22:03
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101404017861_00005                          Path / Row - 33 / 32
Reference Image: L41XXX1184198170100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 47.1%
Rank   2 -- 43.3%
Rank   3 --  9.7%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0330321814   40.69380   -105.26086     0.65      0.51     0.83     2 
0330321815   40.69388   -105.22464     0.57      0.00     0.57     2 
0330321820   40.69409   -105.04356     0.75      0.24     0.79     2 
0330321836   40.69286   -104.46408     0.13     -0.02     0.13     1 
0330321837   40.69268   -104.42787     0.06     -0.13     0.15     1 
0330321849   40.68971   -103.99332    -0.34      0.10     0.36     1 
0330321850   40.68939   -103.95711    -0.31      0.23     0.39     1 
0330321851   40.68906   -103.92090    -0.26      0.33     0.42     1 
0330321859   40.68598   -103.63125    -0.03      0.58     0.58     2 
0330321893   40.66918   -105.11595     0.44      0.03     0.44     1 
0330321894   40.66921   -105.07974     0.22     -0.09     0.23     1 
0330321895   40.66923   -105.04354    -0.05     -0.32     0.32     1 
0330321908   40.66844   -104.57289     0.48      0.12     0.50     1 
0330321912   40.66782   -104.42808    -0.04     -0.15     0.15     1 
0330322045   40.61950   -105.04351    -0.56     -0.19     0.59     2 
0330322117   40.59454   -105.15198    -0.79     -0.61     1.00     2 
0330322189   40.56948   -105.26038     0.57      0.04     0.57     2 
0330322190   40.56956   -105.22423     0.76      0.29     0.82     2 
0330322192   40.56968   -105.15193    -0.16     -0.97     0.98     2 
0330322263   40.54453   -105.29642     0.57      0.56     0.80     2 
0330322266   40.54476   -105.18801     0.44      0.09     0.45     1 
0330322267   40.54481   -105.15187    -0.36     -1.13     1.19     3 
0330322270   40.54490   -105.04346     0.27      0.02     0.27     1 
0330322306   40.53807   -103.74266    -0.25      0.15     0.29     1 
0330322338   40.51967   -105.29631     0.45      0.42     0.62     2 
0330322364   40.51826   -104.35711    -0.42     -0.39     0.57     2 
0330322412   40.49471   -105.33231     0.55      0.57     0.79     2 
0330322492   40.47022   -105.15170     0.88     -0.28     0.92     2 
0330322503   40.47006   -104.75463     0.41      0.30     0.51     2 
0330322526   40.46531   -103.92449    -0.16      0.68     0.69     2 
0330322527   40.46497   -103.88840     0.04      0.59     0.60     2 
0330322536   40.46139   -103.56364    -0.45     -0.06     0.45     1 
0330322562   40.44498   -105.33206     0.49      0.50     0.70     2 
0330322563   40.44507   -105.29598     0.28      0.23     0.36     1 
0330322587   40.44405   -104.42998    -0.52     -0.06     0.52     2 
0330322593   40.44278   -104.21350    -0.79     -0.64     1.02     3 
0330322601   40.44045   -103.92489    -0.21      0.50     0.54     2 
0330322604   40.43940   -103.81666     0.00      0.66     0.66     2 
0330322639   40.42030   -105.25980     0.15      0.31     0.34     1 
0330322644   40.42056   -105.07945     0.14      0.14     0.19     1 
0330322662   40.41918   -104.43019    -0.76      0.03     0.76     2 
0330322675   40.41592   -103.96134    -0.04      0.73     0.73     2 
0330322676   40.41559   -103.92528    -0.43      0.46     0.63     2 
0330322719   40.39570   -105.07942    -0.05      0.49     0.49     1 
0330322767   40.38394   -103.34900    -1.21     -0.30     1.25     3 
0330322795   40.37085   -105.04335     0.01      0.81     0.81     2 
0330322866   40.34584   -105.18745     0.06      0.99     0.99     2 
0330322868   40.34593   -105.11539    -0.30      0.65     0.71     2 
0330322917   40.33422   -103.35021    -1.15     -0.28     1.19     3 
0330322940   40.32091   -105.22340     0.22     -0.34     0.40     1 
0330322942   40.32103   -105.15137    -0.36      1.03     1.09     3 
0330322943   40.32107   -105.11535    -0.20      0.48     0.53     2 
0330322944   40.32110   -105.07933     0.10      0.67     0.67     2 
0330322945   40.32112   -105.04332    -0.03      0.58     0.58     2 
0330323020   40.29625   -105.04330    -0.21      0.70     0.73     2 
0330323168   40.24647   -105.11522    -0.39      0.41     0.56     2 
0330323283   40.21410   -103.67675    -0.68     -0.05     0.68     2 
0330323316   40.19664   -105.18704    -0.36      0.27     0.45     1 
0330323317   40.19670   -105.15109    -0.86      0.42     0.96     2 
0330323321   40.19680   -105.00728    -0.02     -0.12     0.12     1 
0330323359   40.18882   -103.64130    -1.07     -0.18     1.08     3 
0330323395   40.17192   -105.04322    -0.36     -0.42     0.56     2 
0330323417   40.16952   -104.25260    -0.77      0.23     0.81     2 
0330323418   40.16928   -104.21667    -0.75      0.21     0.78     2 
0330323433   40.16438   -103.67772    -0.78     -0.02     0.78     2 
0330323486   40.14584   -104.46841    -0.96     -0.14     0.97     2 
0330323493   40.14442   -104.21695    -1.00      0.19     1.02     3 
0330323584   40.11424   -103.64279    -0.91     -0.37     0.98     2 
0330323612   40.09686   -105.33037    -0.04      0.17     0.18     1 
0330323613   40.09696   -105.29447     0.02      0.22     0.22     1 
0330323614   40.09704   -105.25857    -0.08      0.40     0.41     1 
0330323615   40.09712   -105.22267     0.25      0.22     0.33     1 
0330323659   40.08938   -103.64328    -0.80     -0.40     0.90     2 
0330323690   40.07225   -105.22259    -0.19     -0.28     0.34     1 
0330323759   40.04677   -105.43774     0.18      0.11     0.21     1 
0330323833   40.02176   -105.47344     0.47      0.29     0.55     2 
0330323841   40.02258   -105.18657    -0.12      0.19     0.23     1 
0330323847   40.02273   -104.97141     1.11      0.54     1.23     3 
