Fri. Feb. 12, 2016             LANDSAT 2                 Time: 07:07
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L18039060            Path/Row: 036 / 032

L0R Reference Image: L21XXX1175190170101_HDF.160430946
Acquisition Date: Jul 09, 1975

Band Number:  7

GLS date for each WRS-2 path/row used:
Path  Row   Date
033   032   09-20-2002
033   033   09-14-2000
034   031   10-05-1999
034   032   09-24-2001
034   033   09-24-2001


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)
0330330374_02   39.410798 -105.229530  2235.921       0.000     0.000   -32.409    -4.938
0330330395_02   39.538832 -105.371343  2784.627       0.000     0.000   -17.227     1.109
0330330462_02   39.512675 -105.612002  3500.022       0.000     0.000   -25.353    -4.405
0340310105_02   41.071102 -105.933681  2315.739       0.000     0.000    60.997    37.610
0340310127_02   40.910226 -104.866295  1732.030       0.000     0.000    51.123    -0.608
0340310244_02   40.919947 -105.140256  1960.009       0.000     0.000    30.457   -12.265
0340320011_02   39.506654 -105.278350  2526.448       0.000     0.000   -25.352    -6.813
0340320013_02   39.948116 -105.358095  2165.516       0.000     0.000    53.017    18.064
0340320014_02   40.568304 -105.391149  2439.219       0.000     0.000   -57.357   -33.631
0340320017_02   40.664462 -105.202895  1575.408       0.000     0.000   -27.677   -12.454
0340320023_02   39.639704 -105.254059  2287.842       0.000     0.000    -6.085   -18.295
0340320025_02   39.645700 -105.340446  2257.770       0.000     0.000     8.921    -8.268
0340320028_02   40.471939 -104.993158  1488.884       0.000     0.000   -70.158   -25.854
0340320032_02   40.072551 -105.205701  1556.990       0.000     0.000    55.230     6.138
0340320035_02   39.766942 -105.140340  1665.077       0.000     0.000    44.828     2.785
0340320042_02   40.158879 -105.840398  2520.403       0.000     0.000    66.397    -6.972
0340320043_02   40.838041 -105.155740  1759.000       0.000     0.000     4.497     4.933
0340320045_02   39.464997 -105.383505  2541.235       0.000     0.000   -42.402    12.021
0340320058_02   40.161451 -105.893976  2515.200       0.000     0.000    42.401    42.150
0340320060_02   40.653002 -105.061982  1554.000       0.000     0.000    -0.896    18.621
0340320065_02   40.611052 -105.131806  1535.204       0.000     0.000   -25.213     0.840
0340320067_02   40.884042 -104.631686  1642.887       0.000     0.000    48.665    10.093
0340320075_02   40.533872 -105.930078  2950.298       0.000     0.000   -12.626   -41.910
0340320078_02   39.567103 -106.051839  2747.305       0.000     0.000   -11.292   -17.124
0340320079_02   40.180131 -105.816698  2516.659       0.000     0.000    51.597     7.952
0340320081_02   39.724602 -105.244569  2222.721       0.000     0.000     5.287    -5.643
0340320083_02   40.624884 -105.079691  1517.000       0.000     0.000   -24.204   -18.720
0340320085_02   39.875810 -105.399816  2762.105       0.000     0.000    19.299     5.976
0340320087_02   40.308126 -105.077552  1518.814       0.000     0.000   -35.741     1.216
0340320094_02   40.007445 -106.214623  2375.178       0.000     0.000    32.249     9.274
0340320096_02   40.584417 -105.962327  2935.236       0.000     0.000   -17.961    -6.808
0340320102_02   40.388378 -105.103801  1512.976       0.000     0.000   -16.129    -6.804
0340320110_02   40.191429 -105.231436  1581.008       0.000     0.000    24.327   -14.656
0340320113_02   40.785152 -104.739612  1626.041       0.000     0.000    -5.606   -20.526
0340320116_02   40.133951 -105.811215  2515.000       0.000     0.000    34.141     3.248
0340320122_02   39.939502 -105.658276  3433.128       0.000     0.000    41.535   -16.448
0340320125_02   40.521371 -105.079923  1521.612       0.000     0.000   -17.325    -1.523
0340320126_02   39.546437 -105.062382  1644.000       0.000     0.000    26.426    -7.052
0340320132_02   39.690788 -105.358511  2377.808       0.000     0.000     4.915    19.199
0340320135_02   40.492209 -105.008378  1470.000       0.000     0.000   -41.113   -22.516
0340320145_02   40.041201 -105.203497  1558.551       0.000     0.000    33.816    21.736
0340320150_02   40.837518 -105.840369  3110.085       0.000     0.000   -17.051    -0.248
0340320152_02   40.413810 -106.147648  2683.746       0.000     0.000     8.505    30.182
0340320154_02   40.404081 -105.068117  1509.897       0.000     0.000   -33.825    -2.125
0340320160_02   39.783838 -105.784316  3156.975       0.000     0.000    22.430    -8.189
0340320161_02   39.719676 -105.716385  3273.034       0.000     0.000   -93.153    63.535
0340320162_02   40.506263 -104.984656  1458.000       0.000     0.000   -47.502   -31.341
0340320163_02   40.307457 -104.810652  1425.104       0.000     0.000   -93.578   188.397
0340320165_02   40.003078 -105.210062  1599.232       0.000     0.000    26.056    15.593
0340320169_02   39.900198 -105.764585  2862.585       0.000     0.000    36.483    -2.477
0340320176_02   40.215236 -105.416612  2097.984       0.000     0.000    -5.454     0.025
0340320182_02   39.788233 -105.534202  2886.607       0.000     0.000    25.524    37.594
0340320190_02   40.167437 -105.197179  1555.691       0.000     0.000    26.237    10.727
0340320195_02   40.207371 -105.492356  2484.688       0.000     0.000     9.822    -7.468
0340320199_02   40.585991 -104.977548  1512.131       0.000     0.000   -34.431    -4.559
0340320207_02   40.747834 -105.103292  1604.707       0.000     0.000     1.545   -12.014
0340320208_02   40.858124 -104.640017  1639.272       0.000     0.000    33.267     1.148
0340320216_02   40.648691 -104.971850  1553.000       0.000     0.000   -26.033    -2.149
0340320222_02   40.469584 -104.788610  1428.000       0.000     0.000   -63.283   -32.983
0340320230_02   40.847264 -105.672870  2728.257       0.000     0.000   -48.543   -15.867
0340320237_02   39.543582 -105.477158  3080.072       0.000     0.000     1.032     7.663
0340320238_02   40.346387 -105.532575  2442.664       0.000     0.000   -18.507   -16.326
0340320243_02   39.704316 -106.252683  3618.345       0.000     0.000   -51.798    29.669
0340320246_02   40.339701 -105.130570  1550.000       0.000     0.000     3.173   -30.095
0340320251_02   39.538832 -105.371343  2784.627       0.000     0.000    -9.616    -5.867
0340320256_02   39.740795 -105.053104  1619.724       0.000     0.000    57.183    13.717
0340320257_02   39.944158 -105.207774  1727.328       0.000     0.000    12.055    12.092
0340320258_02   39.770528 -105.055228  1637.367       0.000     0.000    36.178     7.147
0340320260_02   39.838356 -105.084735  1650.901       0.000     0.000    26.755    11.111
0340320261_02   40.192876 -105.177164  1546.721       0.000     0.000     8.508    -4.833
0340320262_02   39.879478 -105.750321  2854.875       0.000     0.000    14.506    11.312
0340320264_02   39.822053 -105.583540  2947.088       0.000     0.000     7.653   -10.189
0340320275_02   40.616255 -105.042796  1523.319       0.000     0.000    -5.564    12.244
0340320276_02   39.605473 -106.023066  2760.767       0.000     0.000     2.613   -32.576
0340320277_02   40.163808 -105.054489  1500.817       0.000     0.000   -10.382   -14.468
0340320278_02   39.523611 -105.396742  3027.477       0.000     0.000    -9.254    -2.720
0340320282_02   40.883196 -104.862433  1710.987       0.000     0.000    91.598    21.351
0340320286_02   40.714835 -105.130590  1587.281       0.000     0.000    -9.143     0.242
0340320287_02   40.580072 -105.996648  2751.800       0.000     0.000   -18.979   -28.879
0340320290_02   40.816452 -104.869330  1663.371       0.000     0.000    28.933    -9.702
0340320296_02   39.622541 -105.850651  3607.722       0.000     0.000   -12.131   -24.892
0340320298_02   40.524372 -104.995278  1464.000       0.000     0.000   -42.209   -22.707
0340320304_02   39.621495 -105.156823  1764.518       0.000     0.000    27.602    -0.346
0340320305_02   39.987816 -105.836541  2534.772       0.000     0.000    27.584   -13.458
0340320307_02   40.262498 -105.863200  2625.000       0.000     0.000    20.442     9.162
0340320308_02   39.866657 -106.286848  2415.792       0.000     0.000    40.023   -15.661
0340320309_02   40.495784 -105.416218  2866.136       0.000     0.000   -47.237   -33.961
0340320311_02   40.078322 -105.677203  3582.748       0.000     0.000   -14.125   -28.534
0340320319_02   40.674909 -104.982843  1552.369       0.000     0.000   -41.894     2.886
0340320320_02   40.368328 -105.149353  1557.391       0.000     0.000   -29.364    -7.592
0340320329_02   39.650009 -106.323732  2562.461       0.000     0.000    -7.133    37.455
0340320330_02   40.637603 -105.936128  3445.908       0.000     0.000   -56.051   -25.738
0340320332_02   40.150242 -105.278494  1702.563       0.000     0.000    33.339    25.433
0340320333_02   40.448960 -105.038444  1498.000       0.000     0.000     1.209     9.956
0340320336_02   40.666437 -105.148242  1577.943       0.000     0.000   -14.601    -9.860
0340320340_02   40.442992 -105.080537  1527.854       0.000     0.000   -52.550   -31.472
0340320341_02   39.497249 -105.254238  2575.042       0.000     0.000   -34.524     3.487
0340320349_02   40.061377 -105.902867  2461.729       0.000     0.000    -3.156    -6.598
0340320354_02   40.789350 -105.186206  1851.447       0.000     0.000    -6.910   -12.676
0340320356_02   40.176794 -104.986845  1474.948       0.000     0.000     6.221   -18.949
0340320357_02   40.225105 -105.127882  1541.390       0.000     0.000    -1.721     9.474
0340320358_02   40.617042 -106.033727  2629.609       0.000     0.000   -33.627    12.734
0340320360_02   40.706502 -105.081209  1573.000       0.000     0.000   -23.595   -48.804
0340320362_02   39.534529 -105.085412  1644.000       0.000     0.000    60.620   -51.259
0340320365_02   41.071102 -105.933681  2315.739       0.000     0.000    58.230    37.615
0340320369_02   39.685557 -105.387871  2455.092       0.000     0.000   -10.264    16.369
0340320371_02   40.781297 -105.148141  1683.698       0.000     0.000   -26.523    -9.084
0340320380_02   40.489691 -105.912122  3328.098       0.000     0.000   -30.818   -19.761
0340320381_02   40.816091 -105.194819  1758.220       0.000     0.000   -15.081    -5.011
0340320386_02   40.137414 -105.209418  1563.162       0.000     0.000    10.520    11.563
0340320394_02   40.272363 -105.297343  1751.479       0.000     0.000    -3.340   -16.416
0340320395_02   40.043030 -105.344524  2066.773       0.000     0.000    30.433    14.081
0340320396_02   40.061771 -105.400198  2432.385       0.000     0.000    11.668     4.786
0340320401_02   39.566156 -105.619807  3944.632       0.000     0.000    15.508   -12.191
0340330001_02   39.506654 -105.278350  2526.448       0.000     0.000   -29.853    -4.560
0340330008_02   39.465267 -105.383507  2540.090       0.000     0.000   -42.562    19.483
0340330031_02   39.627106 -106.052397  2745.662       0.000     0.000   -17.772   -41.284
0340330102_02   39.496979 -105.253888  2574.454       0.000     0.000   -39.874     6.784
0340330121_02   39.538832 -105.371343  2784.627       0.000     0.000   -13.517     0.792
0340330124_02   39.546437 -105.062382  1644.000       0.000     0.000    54.841    -5.816
0340330137_02   39.605473 -106.023066  2760.767       0.000     0.000     3.033   -28.020
0340330147_02   39.704316 -106.252683  3618.345       0.000     0.000   -57.456    38.371
0340330155_02   39.567103 -106.051839  2747.305       0.000     0.000   -10.255   -18.504
0340330181_02   39.543582 -105.477158  3080.072       0.000     0.000     1.428     7.598
0340330198_02   39.523611 -105.396742  3027.477       0.000     0.000   -16.002     0.392
0340330205_02   39.622541 -105.850651  3607.722       0.000     0.000    -9.448   -20.753
0340330334_02   39.419095 -105.268243  2376.625       0.000     0.000   -30.902    -3.941
0340330342_02   39.410798 -105.229530  2235.921       0.000     0.000   -34.292    -2.302
0340330369_02   39.597720 -105.949228  3032.566       0.000     0.000     2.824   -15.006
0340330372_02   39.566156 -105.619807  3944.632       0.000     0.000    14.660   -10.828
0340330406_02   39.534258 -105.085063  1644.000       0.000     0.000    89.877   -55.518
0340330416_02   39.541757 -105.293852  2441.789       0.000     0.000   -28.661     0.575
0340330428_02   39.554305 -105.245018  2363.233       0.000     0.000   -12.178     0.004
0340330433_02   39.553798 -105.339298  2530.105       0.000     0.000   -15.072     2.281
0340330434_02   39.579835 -105.307986  2337.013       0.000     0.000   -26.818    -1.730
