==============================================================================
==============================================================================
Fri. Feb. 12 2016                  LANDSAT 2                       Time: 13:09
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 9991602120001_14199                          Path / Row - 36 / 32
Reference Image: L21XXX1175190170101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 54.1%
Rank   2 -- 42.0%
Rank   3 --  3.9%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0360321143   40.78962   -105.81167     0.61     -0.30     0.68     2 
0360321149   40.79103   -105.57700     0.15      0.12     0.19     1 
0360321150   40.79122   -105.53789     0.31      0.12     0.33     1 
0360321154   40.79184   -105.38143     0.41      0.11     0.42     1 
0360321159   40.79232   -105.18586     0.05      0.15     0.16     1 
0360321170   40.79221   -104.75559    -0.01      0.15     0.15     1 
0360321186   40.78919   -104.12978    -0.00     -0.06     0.06     1 
0360321187   40.78889   -104.09067    -0.33      0.25     0.41     1 
0360321188   40.78858   -104.05156    -0.08      0.25     0.27     1 
0360321190   40.78791   -103.97335     0.05      0.61     0.62     2 
0360321191   40.78755   -103.93424    -0.04      0.91     0.91     2 
0360321212   40.76125   -106.04591     0.25     -0.10     0.27     1 
0360321213   40.76160   -106.00682     0.03     -0.07     0.07     1 
0360321217   40.76285   -105.85045     0.55      0.10     0.56     2 
0360321218   40.76314   -105.81135     0.61     -0.18     0.64     2 
0360321227   40.76507   -105.45948     0.32      0.22     0.38     1 
0360321228   40.76522   -105.42038     0.46      0.16     0.49     1 
0360321229   40.76536   -105.38128     0.59      0.18     0.61     2 
0360321230   40.76548   -105.34218     0.53      0.40     0.66     2 
0360321231   40.76559   -105.30308     0.32      0.57     0.65     2 
0360321232   40.76569   -105.26399     0.43      0.14     0.45     1 
0360321233   40.76577   -105.22489     0.32      0.18     0.37     1 
0360321252   40.76483   -104.48199     0.01     -0.29     0.29     1 
0360321260   40.76300   -104.16922     0.03      0.06     0.07     1 
0360321261   40.76271   -104.13013     0.03      0.01     0.03     1 
0360321262   40.76241   -104.09103    -0.14      0.24     0.28     1 
0360321265   40.76143   -103.97375     0.18      0.69     0.72     2 
0360321288   40.73512   -106.00642    -0.37      0.48     0.60     2 
0360321289   40.73545   -105.96734     0.34      0.26     0.43     1 
0360321302   40.73859   -105.45930     0.60      0.26     0.65     2 
0360321303   40.73874   -105.42022     0.79      0.08     0.80     2 
0360321304   40.73887   -105.38113     0.66      0.18     0.68     2 
0360321305   40.73900   -105.34205     0.75      0.11     0.76     2 
0360321306   40.73911   -105.30297     0.36      0.19     0.41     1 
0360321307   40.73920   -105.26388     0.34      0.14     0.36     1 
0360321308   40.73928   -105.22480     0.37      0.01     0.37     1 
0360321309   40.73935   -105.18571     0.68      0.13     0.70     2 
