==============================================================================
==============================================================================
Fri. Feb. 12 2016                  LANDSAT 2                       Time: 13:09
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 9991602120001_14199                          Path / Row - 36 / 32
Reference Image: L21XXX1175190170101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 54.1%
Rank   2 -- 42.0%
Rank   3 --  3.9%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0360322351   40.36763   -105.49564     0.18      0.24     0.30     1 
0360322352   40.36779   -105.45677     0.45      0.42     0.61     2 
0360322353   40.36794   -105.41790     0.46      0.37     0.59     2 
0360322354   40.36807   -105.37904     0.60      0.31     0.68     2 
0360322355   40.36819   -105.34017     0.55      0.37     0.66     2 
0360322356   40.36830   -105.30130     0.35      0.40     0.53     2 
0360322357   40.36840   -105.26243     0.58      0.59     0.83     2 
0360322417   40.33912   -105.84510    -0.03      0.16     0.16     1 
0360322424   40.34079   -105.57315    -0.12      0.62     0.63     2 
0360322425   40.34097   -105.53430     0.19      0.31     0.36     1 
0360322426   40.34115   -105.49545     0.37      0.25     0.45     1 
0360322427   40.34131   -105.45659     0.42      0.14     0.45     1 
0360322428   40.34145   -105.41774     0.44      0.08     0.44     1 
0360322429   40.34159   -105.37889     0.51      0.26     0.57     2 
0360322430   40.34171   -105.34003     0.40      0.30     0.50     1 
0360322431   40.34181   -105.30118     0.51      0.50     0.71     2 
0360322432   40.34191   -105.26233     0.65      0.48     0.81     2 
0360322435   40.34211   -105.14576     0.35     -0.41     0.54     2 
0360322436   40.34216   -105.10691     0.06      0.67     0.67     2 
0360322492   40.31264   -105.84477    -0.27      0.03     0.28     1 
0360322493   40.31291   -105.80594    -0.11     -0.08     0.14     1 
0360322503   40.31497   -105.41758     0.30     -0.06     0.31     1 
0360322505   40.31522   -105.33990     0.44      0.14     0.46     1 
0360322506   40.31533   -105.30106     0.36      0.39     0.53     2 
0360322507   40.31542   -105.26222     0.54      0.36     0.65     2 
0360322509   40.31557   -105.18454     0.16      0.35     0.39     1 
0360322510   40.31563   -105.14571     0.24      0.01     0.24     1 
0360322511   40.31567   -105.10687     0.37      0.33     0.49     1 
0360322512   40.31570   -105.06803     0.23      0.38     0.44     1 
0360322513   40.31572   -105.02919     0.27      0.47     0.54     2 
0360322567   40.28615   -105.84444    -0.25     -0.10     0.27     1 
0360322568   40.28643   -105.80562    -0.17     -0.04     0.18     1 
0360322578   40.28848   -105.41741     0.16     -0.07     0.18     1 
0360322580   40.28873   -105.33977     0.02      0.51     0.51     2 
0360322581   40.28884   -105.30094     0.14      0.33     0.36     1 
0360322582   40.28894   -105.26212     0.51      0.13     0.52     2 
0360322583   40.28902   -105.22330     0.50     -0.03     0.50     1 
0360322641   40.25938   -105.88292    -0.47     -0.11     0.48     1 
0360322642   40.25967   -105.84411    -0.24     -0.14     0.28     1 
0360322643   40.25994   -105.80531    -0.23      0.17     0.29     1 
0360322657   40.26245   -105.26202     0.06      0.05     0.08     1 
0360322658   40.26253   -105.22321     0.43      0.19     0.47     1 
0360322660   40.26265   -105.14559     0.16      0.11     0.20     1 
0360322679   40.26123   -104.40824     0.75      0.40     0.85     2 
0360322707   40.22970   -106.23163    -0.43     -0.96     1.05     3 
0360322709   40.23050   -106.15407    -0.41     -0.69     0.80     2 
0360322716   40.23289   -105.88257    -0.43     -0.09     0.44     1 
0360322717   40.23318   -105.84378    -0.33     -0.22     0.40     1 
0360322718   40.23346   -105.80500    -0.47      0.10     0.48     1 
0360322720   40.23397   -105.72742    -0.14      0.42     0.44     1 
0360322721   40.23421   -105.68863     0.11      0.25     0.28     1 
0360322722   40.23443   -105.64984     1.04      0.25     1.07     3 
0360322725   40.23503   -105.53347     0.25      0.05     0.26     1 
0360322726   40.23520   -105.49467     0.33      0.15     0.36     1 
0360322727   40.23536   -105.45588     0.14      0.03     0.14     1 
